lambda_2,lambda_N,spectral_gap,spectral_radius,avg_degree,degree_variance,max_degree,min_degree,degree_assortativity,avg_path_length,diameter,radius,avg_clustering,transitivity,max_betweenness,max_closeness,max_eigenvector,density,efficiency,modularity,num_nodes,num_edges,r_final
10.84122873069289,85.75220295394546,2.98112003782731,0.1264250754760824,54.72,254.24160000000003,84.0,23.0,0.28506985050210154,1.7848769574944072,4.0,0.40625,0.7328138782697653,0.6842632600663786,0.022815069053523616,0.6962616822429907,0.13179940903198278,0.367248322147651,0.367248322147651,0.0,150.0,4104.0,0.8938720498047541
9.978152175341263,85.48318724782499,3.251459419199069,0.11672648735491721,52.18666666666667,182.5384888888889,84.0,21.0,0.1898778230883701,1.8191498881431767,4.0,0.40625,0.728607939227625,0.6793748685962576,0.031188636180286347,0.6962616822429907,0.13490261578682766,0.3502460850111857,0.3502460850111857,0.0,150.0,3914.0,0.879290164542323
9.797771968498418,91.36798102417646,2.337528010444373,0.10723419581643022,54.586666666666666,275.0291555555556,90.0,23.0,0.2938950401544001,1.803668903803132,4.0,0.40625,0.7432577714905494,0.6911308231706047,0.02176026247572492,0.7095238095238096,0.14024138664083308,0.36635346756152126,0.36635346756152126,0.0,150.0,4094.0,0.8908855377095923
11.01145384851001,90.35986452415635,1.1949896613367024,0.12186222175627835,53.10666666666667,233.08195555555557,89.0,19.0,0.2792046110986178,1.8062639821029083,4.0,0.40625,0.7272038986131084,0.6783336740407605,0.03080752543349783,0.7129186602870813,0.14048702928653584,0.35642058165548096,0.35642058165548096,0.0,150.0,3983.0,0.87988901937934
10.451914581634309,88.455287845697,2.373050503913369,0.11816042699297771,54.49333333333333,308.68995555555557,87.0,19.0,0.3172628636667374,1.7901565995525728,4.0,0.40625,0.7357947144946223,0.6839799982628765,0.024381684106749287,0.7061611374407583,0.13194782212504705,0.36572706935123045,0.36572706935123045,0.0,150.0,4087.0,0.8860590169984699
11.005023110883858,85.09151841000252,2.307162150565441,0.12933161044156682,54.22666666666667,252.52195555555556,83.0,18.0,0.24258884643615392,1.7936465324384787,4.0,0.40625,0.7267412122828636,0.6738314104633578,0.018985055229671036,0.6930232558139535,0.13144643848397136,0.36393736017897094,0.36393736017897094,0.0,150.0,4067.0,0.8931327811711496
10.811815066805552,86.37441496176471,1.9386799426654413,0.12517381532009925,54.61333333333334,291.0104888888889,84.0,18.0,0.268943898034826,1.792841163310962,4.0,0.40625,0.729700141741674,0.6772137218029541,0.0202685422076748,0.6930232558139535,0.12841456273040353,0.3665324384787472,0.3665324384787472,0.0,150.0,4096.0,0.8907919170564483
9.313195928973354,81.6859146269757,2.707802415295049,0.11401226235272871,52.44,194.9664,80.0,24.0,0.247006939885254,1.8088590604026846,4.0,0.4375,0.7497451085428946,0.6929416970903861,0.024409604862638993,0.6834862385321101,0.13300414577393332,0.35194630872483224,0.35194630872483224,0.0,150.0,3933.0,0.8783490754763802
10.942258205035547,86.78800802000396,1.5991006269617216,0.12608030135354,53.586666666666666,262.2024888888889,85.0,22.0,0.27517309482281843,1.8103803131991052,4.0,0.40625,0.7350952535342404,0.6760327430295527,0.01869313582139295,0.6962616822429907,0.13136861412069115,0.3596420581655481,0.3596420581655481,0.0,150.0,4019.0,0.8849405742713999
9.699228907587461,84.54450507820377,2.385204148635305,0.11472335072061352,52.57333333333333,240.81795555555553,83.0,18.0,0.26335249819022966,1.8234451901565996,4.0,0.40625,0.7349270741713257,0.6803468599688368,0.028363567675867504,0.6930232558139535,0.13479431166822348,0.352841163310962,0.352841163310962,0.0,150.0,3943.0,0.8459911405429672
